Designator;Comment;Layer;Footprint;Center-X(mil);Center-Y(mil);Rotation;Description;LCSC PART #;;
C15;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;2860;805;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C17;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;845;825;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C18;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;225;760;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C24;C 1uF 0805 MLCC 50V X5R;TopLayer;CAPC_0805;600;565;180;Capacitores de cerâmica multicamada MLCC - SMD/SMT 0805 50V 1uF 20% X5R;C28323;;
C25;C 10nF 0805 MLCC 50V X7R;TopLayer;CAPC_0805;422,206;1366,412;90;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10nF 50V X7R 10%;C1710;;
R22;R 330 1/8 0805 .1%;TopLayer;RESC_0805;325;1365;90;Resistores de Filme Fino - SMD CPF 0805 330R 0.1% 25PPM 1K RL;C17630;;
R25;R 560 1/8W 0805 .1%;TopLayer;RESC_0805;600;650;180;Resistores de Filme Fino - SMD 1/8W 3.6K ohm .1% 25ppm;C28636;;
R32;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;912,461;60;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R33;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;949,862;235;90;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R34;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;810;305;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R35;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;810;448,933;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R36;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;810;566,067;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R47;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;294,862;60;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R48;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;257,461;235;90;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R49;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;395;305;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R50;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;395;448,933;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R51;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;395;566,067;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
U12;IC CC/CC 1W 5V;BottomLayer;DC/DC_ISO;760;960,591;270;Conversores CC/CC com isolação 1W 5Vin 5Vout 200mA SIP7;;;
C28;C 10nF 0805 MLCC 50V X7R;TopLayer;CAPC_0805;1392,206;1363,588;90;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10nF 50V X7R 10%;C1710;;
C29;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;1190;1230;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C27;C 1uF 0805 MLCC 50V X5R;TopLayer;CAPC_0805;1579,37;585;180;Capacitores de cerâmica multicamada MLCC - SMD/SMT 0805 50V 1uF 20% X5R;C28323;;
C20;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;1844,37;825;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
C19;C 10uF 0805 MLCC 25V X5R;TopLayer;CAPC_0805;1205;760;270;Capacitores de cerâmica multicamada MLCC - SMD/SMT 10uF 25V X5R +/-10% 0805 Gen Purp;C15850;;
R52;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1289,37;65;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R53;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1249,37;240;90;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R54;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1384,37;310;0;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R55;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1384,37;445;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R56;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1385;580;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R37;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1884,37;65;0;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R38;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1921,772;240;90;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R41;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1784,37;580;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R40;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1784,37;445;360;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R39;R 100k 1/8W 0805 .1%;TopLayer;RESC_0805;1784,37;310;180;Resistores de Filme Fino - SMD 100 Kohm .1% 0805 25PPM;C17407;;
R23;R 330 1/8 0805 .1%;TopLayer;RESC_0805;1295;1365;90;Resistores de Filme Fino - SMD CPF 0805 330R 0.1% 25PPM 1K RL;C17630;;
R26;R 560 1/8W 0805 .1%;TopLayer;RESC_0805;1579,37;675;180;Resistores de Filme Fino - SMD 1/8W 3.6K ohm .1% 25ppm;C28636;;
U16;IC AmpIso BIPOL AMC1200;TopLayer;SOIC8;1370;979,567;90;Amplificadores de isolamento 4kV peak Iso Amp;C79905;;
U13;IC CC/CC 1W 5V;BottomLayer;DC/DC_ISO;1744,37;965,591;270;Conversores CC/CC com isolação 1W 5Vin 5Vout 200mA SIP7;;;
R13;R 5k1 1/8W 0805 .1%;TopLayer;RESC_0805;1488,333;1365;90;Resistores de Filme Fino - SMD 0805 5.1Kohm 1/8W .1% 25ppm;C27834;;
R14;R 7k5 1/8W 0805 .1%;TopLayer;RESC_0805;1585;1365;270;Resistores de Filme Fino - SMD 7.5K OHM .1% 25ppm;C17807;;
R15;R 5k1 1/8W 0805 .1%;TopLayer;RESC_0805;518,333;1365;90;Resistores de Filme Fino - SMD 0805 5.1Kohm 1/8W .1% 25ppm;C27834;;
R17;R 7k5 1/8W 0805 .1%;TopLayer;RESC_0805;615;1365;270;Resistores de Filme Fino - SMD 7.5K OHM .1% 25ppm;C17807;;
R18;R 5k1 1/8W 0805 .1%;TopLayer;RESC_0805;2409,82;1365;90;Resistores de Filme Fino - SMD 0805 5.1Kohm 1/8W .1% 25ppm;C27834;;
R19;R 7k5 1/8W 0805 .1%;TopLayer;RESC_0805;2310;1365;270;Resistores de Filme Fino - SMD 7.5K OHM .1% 25ppm;C17807;;
CC1;IC CC 30A SO-8;TopLayer;CC6303_SOP8;3290;3015;90;Sensores de Corrente de Montagem de Painel Hall Effect IC LF 30A 66 mV/A;C163283;;
CC2;IC CC 30A SO-8;TopLayer;CC6303_SOP8;3290;2405;90;Sensores de Corrente de Montagem de Painel Hall Effect IC LF 30A 66 mV/A;C163283;;
CC3;IC CC 30A SO-8;TopLayer;CC6303_SOP8;3290;1795;90;Sensores de Corrente de Montagem de Painel Hall Effect IC LF 30A 66 mV/A;C163283;;
P3;P 8p 2.54 SR DW 8P;TopLayer;Header_8x1_8.5mm;1486;3730;180;Distribuidores e Alojamento de Fios CGrid Hrd SRDW THo le 8ckt;;;
P2;P 8p 2.54 SR DW 8P;TopLayer;Header_8x1_8.5mm;1486;3630;180;Distribuidores e Alojamento de Fios CGrid Hrd SRDW THo le 8ckt;;;
